pH,Antibiotic,Concentration,Strain,ExperimentDate,Incubation,Person,OD,,,,,,,,
9,Levofloxacin,2,K279a,72619,48,EA,1.6589,,,,,,,,
9,Levofloxacin,2,K279a,72619,48,EA,1.6542,,,,,,,,
9,Levofloxacin,2,K279a,72619,48,EA,1.6714,,,,,,,,
5,Levofloxacin,1,K279a,72619,48,EA,1.6943,,,,,,,,
5,Levofloxacin,1,K279a,72619,48,EA,1.7246,,,,,,,,
5,Levofloxacin,1,K279a,72619,48,EA,1.6764,,,,,,,,
7,Levofloxacin,1,K279a,72619,48,EA,1.6475,,,,,,,,
7,Levofloxacin,1,K279a,72619,48,EA,1.6141,,,,,,,,
7,Levofloxacin,1,K279a,72619,48,EA,1.6299,,,,,,,,
9,Levofloxacin,1,K279a,72619,48,EA,1.6718,,,,,,,,
9,Levofloxacin,1,K279a,72619,48,EA,1.7464,,,,,,,,
9,Levofloxacin,1,K279a,72619,48,EA,1.6987,,,,,,,,
5,Levofloxacin,0,K279a,72619,48,EA,1.7469,,,,,,,,
5,Levofloxacin,0,K279a,72619,48,EA,1.7144,,,,,,,,
5,Levofloxacin,0,K279a,72619,48,EA,1.7438,,,,,,,,
7,Levofloxacin,0,K279a,72619,48,EA,1.7504,,,,,,,,
7,Levofloxacin,0,K279a,72619,48,EA,1.7416,,,,,,,,
7,Levofloxacin,0,K279a,72619,48,EA,1.7342,,,,,,,,
9,Levofloxacin,0,K279a,72619,48,EA,1.6302,,,,,,,,
9,Levofloxacin,0,K279a,72619,48,EA,1.6575,,,,,,,,
9,Levofloxacin,0,K279a,72619,48,EA,1.6252,,,,,,,,
5,Levofloxacin,16,K279a,72619,24,EA,1.4082,,,,,,,,
5,Levofloxacin,16,K279a,72619,24,EA,1.3728,,,,,,,,
5,Levofloxacin,16,K279a,72619,24,EA,1.4059,,,,,,,,
7,Levofloxacin,16,K279a,72619,24,EA,0.3238,,,,,,,,
7,Levofloxacin,16,K279a,72619,24,EA,0.3231,,,,,,,,
7,Levofloxacin,16,K279a,72619,24,EA,0.3206,,,,,,,,
9,Levofloxacin,16,K279a,72619,24,EA,0.2543,,,,,,,,
9,Levofloxacin,16,K279a,72619,24,EA,0.2504,,,,,,,,
9,Levofloxacin,16,K279a,72619,24,EA,0.2647,,,,,,,,
5,Levofloxacin,8,K279a,72619,24,EA,1.5636,,,,,,,,
5,Levofloxacin,8,K279a,72619,24,EA,1.5655,,,,,,,,
5,Levofloxacin,8,K279a,72619,24,EA,1.5545,,,,,,,,
7,Levofloxacin,8,K279a,72619,24,EA,1.2195,,,,,,,,
7,Levofloxacin,8,K279a,72619,24,EA,1.2056,,,,,,,,
7,Levofloxacin,8,K279a,72619,24,EA,1.2006,,,,,,,,
9,Levofloxacin,8,K279a,72619,24,EA,0.396,,,,,,,,
9,Levofloxacin,8,K279a,72619,24,EA,0.4037,,,,,,,,
9,Levofloxacin,8,K279a,72619,24,EA,0.4242,,,,,,,,
5,Levofloxacin,4,K279a,72619,24,EA,1.4499,,,,,,,,
5,Levofloxacin,4,K279a,72619,24,EA,1.3844,,,,,,,,
5,Levofloxacin,4,K279a,72619,24,EA,1.3587,,,,,,,,
7,Levofloxacin,4,K279a,72619,24,EA,1.5932,,,,,,,,
7,Levofloxacin,4,K279a,72619,24,EA,1.6186,,,,,,,,
7,Levofloxacin,4,K279a,72619,24,EA,1.6206,,,,,,,,
9,Levofloxacin,4,K279a,72619,24,EA,1.4076,,,,,,,,
9,Levofloxacin,4,K279a,72619,24,EA,1.4258,,,,,,,,
9,Levofloxacin,4,K279a,72619,24,EA,1.4463,,,,,,,,
5,Levofloxacin,2,K279a,72619,24,EA,1.3654,,,,,,,,
5,Levofloxacin,2,K279a,72619,24,EA,1.2742,,,,,,,,
5,Levofloxacin,2,K279a,72619,24,EA,1.2993,,,,,,,,
7,Levofloxacin,2,K279a,72619,24,EA,1.6822,,,,,,,,
7,Levofloxacin,2,K279a,72619,24,EA,1.6966,,,,,,,,
7,Levofloxacin,2,K279a,72619,24,EA,1.696,,,,,,,,
9,Levofloxacin,2,K279a,72619,24,EA,1.6391,,,,,,,,
9,Levofloxacin,2,K279a,72619,24,EA,1.6369,,,,,,,,
9,Levofloxacin,2,K279a,72619,24,EA,1.6434,,,,,,,,
5,Levofloxacin,1,K279a,72619,24,EA,1.4373,,,,,,,,
5,Levofloxacin,1,K279a,72619,24,EA,1.467,,,,,,,,
5,Levofloxacin,1,K279a,72619,24,EA,1.3218,,,,,,,,
7,Levofloxacin,1,K279a,72619,24,EA,1.7036,,,,,,,,
7,Levofloxacin,1,K279a,72619,24,EA,1.6978,,,,,,,,
7,Levofloxacin,1,K279a,72619,24,EA,1.7382,,,,,,,,
9,Levofloxacin,1,K279a,72619,24,EA,1.6893,,,,,,,,
9,Levofloxacin,1,K279a,72619,24,EA,1.7119,,,,,,,,
9,Levofloxacin,1,K279a,72619,24,EA,1.7034,,,,,,,,
5,Levofloxacin,0,K279a,72619,24,EA,1.5542,,,,,,,,
5,Levofloxacin,0,K279a,72619,24,EA,1.4123,,,,,,,,
5,Levofloxacin,0,K279a,72619,24,EA,1.4278,,,,,,,,
7,Levofloxacin,0,K279a,72619,24,EA,1.6788,,,,,,,,
7,Levofloxacin,0,K279a,72619,24,EA,1.595,,,,,,,,
7,Levofloxacin,0,K279a,72619,24,EA,1.675,,,,,,,,
9,Levofloxacin,0,K279a,72619,24,EA,1.6932,,,,,,,,
9,Levofloxacin,0,K279a,72619,24,EA,1.7087,,,,,,,,
9,Levofloxacin,0,K279a,72619,24,EA,1.655,,,,,,,,
5,Levofloxacin,16,K279a,72619,24,ML,1.3913,,,,,,,,
5,Levofloxacin,16,K279a,72619,24,ML,1.4098,,,,,,,,
5,Levofloxacin,16,K279a,72619,24,ML,1.2789,,,,,,,,
7,Levofloxacin,16,K279a,72619,24,ML,0.2715,,,,,,,,
7,Levofloxacin,16,K279a,72619,24,ML,0.2557,,,,,,,,
7,Levofloxacin,16,K279a,72619,24,ML,0.2504,,,,,,,,
9,Levofloxacin,16,K279a,72619,24,ML,0.2026,,,,,,,,
9,Levofloxacin,16,K279a,72619,24,ML,0.2002,,,,,,,,
9,Levofloxacin,16,K279a,72619,24,ML,1.5854,,,,,,,,
5,Levofloxacin,8,K279a,72619,24,ML,1.5013,,,,,,,,
5,Levofloxacin,8,K279a,72619,24,ML,1.5077,,,,,,,,
5,Levofloxacin,8,K279a,72619,24,ML,1.5151,,,,,,,,
7,Levofloxacin,8,K279a,72619,24,ML,1.1785,,,,,,,,
7,Levofloxacin,8,K279a,72619,24,ML,1.1465,,,,,,,,
7,Levofloxacin,8,K279a,72619,24,ML,1.1055,,,,,,,,
9,Levofloxacin,8,K279a,72619,24,ML,0.2585,,,,,,,,
9,Levofloxacin,8,K279a,72619,24,ML,0.2794,,,,,,,,
9,Levofloxacin,8,K279a,72619,24,ML,1.7271,,,,,,,,
5,Levofloxacin,4,K279a,72619,24,ML,1.4116,,,,,,,,
5,Levofloxacin,4,K279a,72619,24,ML,1.5533,,,,,,,,
5,Levofloxacin,4,K279a,72619,24,ML,1.5633,,,,,,,,
7,Levofloxacin,4,K279a,72619,24,ML,1.5743,,,,,,,,
7,Levofloxacin,4,K279a,72619,24,ML,1.5745,,,,,,,,
7,Levofloxacin,4,K279a,72619,24,ML,1.5747,,,,,,,,
9,Levofloxacin,4,K279a,72619,24,ML,1.4151,,,,,,,,
9,Levofloxacin,4,K279a,72619,24,ML,1.4947,,,,,,,,
9,Levofloxacin,4,K279a,72619,24,ML,1.6902,,,,,,,,
5,Levofloxacin,2,K279a,72619,24,ML,1.5078,,,,,,,,
5,Levofloxacin,2,K279a,72619,24,ML,1.5267,,,,,,,,
5,Levofloxacin,2,K279a,72619,24,ML,1.5103,,,,,,,,
7,Levofloxacin,2,K279a,72619,24,ML,1.6392,,,,,,,,
7,Levofloxacin,2,K279a,72619,24,ML,1.6523,,,,,,,,
7,Levofloxacin,2,K279a,72619,24,ML,1.6655,,,,,,,,
9,Levofloxacin,2,K279a,72619,24,ML,1.5688,,,,,,,,
9,Levofloxacin,2,K279a,72619,24,ML,1.5672,,,,,,,,
9,Levofloxacin,2,K279a,72619,24,ML,1.7021,,,,,,,,
5,Levofloxacin,1,K279a,72619,24,ML,1.5179,,,,,,,,
5,Levofloxacin,1,K279a,72619,24,ML,1.5289,,,,,,,,
5,Levofloxacin,1,K279a,72619,24,ML,1.5566,,,,,,,,
7,Levofloxacin,1,K279a,72619,24,ML,1.6806,,,,,,,,
7,Levofloxacin,1,K279a,72619,24,ML,1.7056,,,,,,,,
7,Levofloxacin,1,K279a,72619,24,ML,1.7286,,,,,,,,
9,Levofloxacin,1,K279a,72619,24,ML,1.6498,,,,,,,,
9,Levofloxacin,1,K279a,72619,24,ML,1.6706,,,,,,,,
9,Levofloxacin,1,K279a,72619,24,ML,1.6805,,,,,,,,
5,Levofloxacin,0,K279a,72619,24,ML,1.4356,,,,,,,,
5,Levofloxacin,0,K279a,72619,24,ML,1.4151,,,,,,,,
5,Levofloxacin,0,K279a,72619,24,ML,1.589,,,,,,,,
7,Levofloxacin,0,K279a,72619,24,ML,1.6597,,,,,,,,
7,Levofloxacin,0,K279a,72619,24,ML,1.6824,,,,,,,,
7,Levofloxacin,0,K279a,72619,24,ML,1.6703,,,,,,,,
9,Levofloxacin,0,K279a,72619,24,ML,1.6311,,,,,,,,
9,Levofloxacin,0,K279a,72619,24,ML,1.6253,,,,,,,,
9,Levofloxacin,0,K279a,72619,24,ML,1.7139,,,,,,,,
